locality,municipality,state,postcode,lat,long,bnelat,bnelong,bswlat,bswlong
"Point Piper","Woollahra Municipal Council","New South Wales",2027,-33.870450,151.250970,-33.863621,151.256688,-33.872659,151.247928
"Point Wolstoncroft","Wyong Shire Council","New South Wales",2259,-33.125060,151.583186,-33.102142,151.590888,-33.130856,151.576365
"Pokolbin","","New South Wales",2320,-32.798333,151.284444,-32.668852,151.347887,-32.838218,151.208802
"Polo Flat","Cooma-Monaro Council","New South Wales",2630,-36.231513,149.152977,-36.222689,149.161370,-36.240841,149.140995
"Pomona (NSW)","Wentworth Shire Council","New South Wales",2648,-34.022947,141.889264,-34.002800,141.913511,-34.036839,141.869039
"Pooncarie","","New South Wales",2648,-33.383333,142.566667,-32.847634,142.909833,-33.999201,141.979972
"Port Botany","Randwick City Council","New South Wales",2036,-33.976000,151.218000,-33.963198,151.226033,-33.986944,151.207167
"Port Hacking","Sutherland Shire Council","New South Wales",2229,-34.069000,151.122700,-34.063412,151.132286,-34.073617,151.119309
"Port Kembla","Wollongong City Council","New South Wales",2505,-34.485392,150.899579,-34.441639,150.922273,-34.500849,150.873479
"Port Macquarie","Port Macquarie-Hastings Council","New South Wales",2444,-31.433333,152.900000,-31.405268,152.938375,-31.517162,152.849027
"Porters Retreat","Oberon Council","New South Wales",2787,-34.026596,149.794142,-33.921627,149.844808,-34.071173,149.700881
"Portland (NSW)","Lithgow City Council","New South Wales",2847,-33.356554,149.972988,-33.299281,150.038150,-33.413360,149.912556
"Possum Brush","Greater Taree City Council","New South Wales",2430,-32.059691,152.440812,-31.991780,152.466077,-32.088209,152.322384
"Possum Creek","Byron Shire Council","New South Wales",2479,-28.682564,153.492103,-28.646501,153.512504,-28.695839,153.473231
"Potato Point","Eurobodalla Shire Council","New South Wales",2545,-36.102302,150.123180,-36.065781,150.141585,-36.111371,150.102096
"Potts Hill","Bankstown City Council","New South Wales",2143,-33.890000,151.030000,-33.886623,151.039309,-33.898671,151.026113
"Potts Point","Council of the City of Sydney","New South Wales",2011,-33.867950,151.224110,-33.858056,151.230855,-33.875986,151.221268
"Pottsville","Tweed Shire Council","New South Wales",2489,-28.387749,153.558089,-28.358432,153.573921,-28.416731,153.541708
"Prairiewood","Fairfield City Council","New South Wales",2176,-33.861000,150.904800,-33.856422,150.918840,-33.874077,150.896578
"Premer","","New South Wales",2381,-31.449147,149.859404,-31.397689,150.013897,-31.558322,149.825222
"Prestons","Liverpool City Council","New South Wales",2170,-33.942860,150.871160,-33.926376,150.897747,-33.956745,150.848756
"Pretty Beach (Gosford - NSW)","Gosford City Council","New South Wales",2257,-33.528000,151.347000,-33.518767,151.354782,-33.532455,151.340973
"Primbee","Wollongong City Council","New South Wales",2502,-34.500833,150.881667,-34.497866,150.897894,-34.517897,150.871260
"Primrose Valley","North Yorkshire","England",YO14 9QT,54.188291,-0.286554,0.000000,0.000000,0.000000,0.000000
"Prospect (NSW)","Blacktown City Council","New South Wales",2148,-33.798006,150.916016,-33.790878,150.930746,-33.834060,150.870619
"Providence Portal","Snowy River Shire Council","New South Wales",2629,-35.942299,148.627117,-35.932866,148.646296,-35.969192,148.579028
"Pumpenbil","Tweed Shire Council","New South Wales",2484,-28.381220,153.162870,-28.347255,153.201189,-28.407720,153.107200
"Punchbowl (Canterbury - NSW)","","New South Wales",2196,-33.933333,151.050000,-33.915384,151.065333,-33.942750,151.038197
"Purfleet","Essex","England",,51.486711,0.243312,51.499377,0.268776,51.464543,0.210307
"Putney","Ryde City Council","New South Wales",2112,-33.827000,151.106000,-33.818300,151.115777,-33.835640,151.096276
"Putta Bucca","Mid-Western Regional Council","New South Wales",2850,-32.579339,149.581522,-32.563113,149.596546,-32.588826,149.571503
"Putty","","New South Wales",2330,-32.966667,150.666667,-32.699419,150.819646,-33.072023,150.548312
"Pymble","Ku-Ring-Gai Council","New South Wales",2073,-33.745579,151.137407,-33.729239,151.159410,-33.761098,151.119965
"Pyree","Shoalhaven City Council","New South Wales",2540,-34.908056,150.685556,-34.893577,150.726400,-34.940080,150.656320
"Pyrmont","Council of the City of Sydney","New South Wales",2009,-33.873717,151.195692,-33.862514,151.198773,-33.876094,151.186625
"Quaama","Bega Valley Shire Council","New South Wales",2550,-36.464722,149.868889,-36.425037,149.939139,-36.507742,149.841639
"Quakers Hill","Blacktown City Council","New South Wales",2763,-33.724159,150.888977,-33.710158,150.913808,-33.747318,150.865851
"Quambone","Coonamble Shire Council","New South Wales",2831,-30.936811,147.840909,-30.623127,148.088384,-31.181819,147.608270
"Quandialla","","New South Wales",2721,-34.011538,147.740637,-33.914183,147.877764,-34.124468,147.687560
"Queanbeyan","Queanbeyan City Council","New South Wales",2620,-35.353039,149.230896,-35.341846,149.239855,-35.362884,149.219204
"Queanbeyan East","Queanbeyan City Council","New South Wales",2620,-35.345278,149.246111,-35.330125,149.258543,-35.359249,149.231547
"Queanbeyan West","Queanbeyan City Council","New South Wales",2620,-35.356621,149.204669,-35.345931,149.222867,-35.367091,149.193473
"Queens Park (NSW)","Waverley Council","New South Wales",2022,-33.901000,151.248000,-33.894742,151.253639,-33.903907,151.240787
"Queenscliff (NSW)","Warringah Council","New South Wales",2096,-33.782500,151.284722,-33.779255,151.291469,-33.786500,151.278762
"Quialigo","Goulburn Mulwaree Council","New South Wales",2580,-34.941138,149.761709,-34.861661,149.849056,-35.005135,149.696039
"Quirindi","Liverpool Plains Shire Council","New South Wales",2343,-31.508056,150.680000,-31.398110,150.807942,-31.600796,150.443841
"Quorrobolong","Cessnock City Council","New South Wales",2325,-32.928522,151.396860,-32.894009,151.436493,-32.974905,151.325961
"Raby","Campbelltown City Council","New South Wales",2566,-34.020921,150.817328,-34.010655,150.827539,-34.029695,150.805005
"Raglan (NSW)","Bathurst Regional Council","New South Wales",2795,-33.425150,149.650684,-33.398295,149.674947,-33.443080,149.627319
"Rainbow Flat","Greater Taree City Council","New South Wales",2430,-32.035246,152.485640,-31.993071,152.526761,-32.070989,152.453373
"Raleigh","Wake County","North Carolina",,35.779590,-78.638179,35.971728,-78.471063,35.715808,-78.819049
"Ramornie","Clarence Valley Council","New South Wales",2460,-29.622124,152.744881,-29.561410,152.828030,-29.752640,152.556448
"Ramsgate","","New South Wales",2217,-33.981940,151.140070,-33.978233,151.144122,-33.986090,151.135107
"Ramsgate Beach","Rockdale City Council","New South Wales",2217,-33.982000,151.148000,-33.978474,151.149985,-33.986608,151.142555
"Rand","","New South Wales",2642,-35.601428,146.622983,-35.445360,146.669769,-35.695091,146.375320
"Randwick","Randwick City Council","New South Wales",2031,-33.916430,151.236530,-33.902434,151.254976,-33.934241,151.225311
"Rankin Park","","New South Wales",2287,-32.925204,151.681567,-32.919046,151.689171,-32.932739,151.671325
"Rankins Springs","","New South Wales",2669,-33.846126,146.253466,-33.578110,146.373909,-33.989897,145.949046
"Rappville","Richmond Valley Council","New South Wales",2469,-29.058072,152.920951,-29.034916,153.004885,-29.099024,152.902999
"Rathmines","Lake Macquarie City Council","New South Wales",2283,-33.038766,151.580769,-33.029165,151.599973,-33.049760,151.559054
"Ravensdale","Wyong Shire Council","New South Wales",2259,-33.169904,151.301590,-33.043719,151.382713,-33.198879,151.218836
"Ravenswood (NSW)","Warren Shire Council","New South Wales",2824,-31.698312,147.843845,-31.691741,147.854138,-31.704484,147.832244
"Raworth","Maitland City Council","New South Wales",2321,-32.724919,151.609980,-32.714732,151.620017,-32.737701,151.594941
"Raymond Terrace","Port Stephens Council","New South Wales",2324,-32.754408,151.767512,-32.707213,151.809836,-32.803486,151.724346
"Razorback","Wollondilly Shire Council","New South Wales",2571,-34.146287,150.663350,-34.114019,150.694956,-34.205522,150.593385
"Red Head","Greater Taree City Council","New South Wales",2430,-32.056170,152.541425,-32.049935,152.548019,-32.064714,152.521149
"Red Range","Glen Innes Severn Shire Council","New South Wales",2370,-29.807840,151.968432,-29.712361,152.039811,-29.878196,151.817239
"Red Rock","Coffs Harbour City Council","New South Wales",2456,-29.997196,153.212053,-29.975253,153.234373,-30.019984,153.190844
"Redbank (NSW)","Port Macquarie-Hastings Council","New South Wales",2446,-31.425273,152.738267,-31.400094,152.775268,-31.459784,152.691973
"Redbournberry","Singleton Shire Council","New South Wales",2330,-32.558678,151.189846,-32.554681,151.203088,-32.574555,151.181413
"Redfern","Council of the City of Sydney","New South Wales",2016,-33.893340,151.204610,-33.888624,151.217159,-33.897590,151.196425
"Redhead","Lake Macquarie City Council","New South Wales",2290,-33.009833,151.715180,-32.990107,151.728294,-33.020563,151.687986
"Reedy Creek (NSW)","Singleton Shire Council","New South Wales",2330,-32.495248,151.325876,-32.392475,151.378576,-32.529799,151.296272
"Regents Park (NSW)","","New South Wales",2143,-33.885720,151.028330,-33.875979,151.040129,-33.888784,151.015188
"Regentville","Penrith City Council","New South Wales",2745,-33.771162,150.660446,-33.764346,150.672284,-33.778398,150.654101
"Repton","Derbyshire","England",DE65,52.838719,-1.549452,52.843566,-1.536188,52.826812,-1.565010
"Reserve Creek","Tweed Shire Council","New South Wales",2484,-28.349520,153.503902,-28.332033,153.522662,-28.371013,153.457299
"Revesby","Bankstown City Council","New South Wales",2212,-33.950010,151.010160,-33.931048,151.027262,-33.965082,150.996294
"Revesby Heights","Bankstown City Council","New South Wales",2212,-33.968060,151.017730,-33.963734,151.024694,-33.978268,151.012730
"Rhodes","","",,36.434053,28.217638,36.458605,28.247528,35.876721,27.683495
"Richmond (NSW)","Hawkesbury City Council","New South Wales",2753,-33.600000,150.750000,-33.576670,150.799432,-33.634887,150.717915
"Richmond Hill (NSW)","Lismore City Council","New South Wales",2480,-28.788597,153.341717,-28.770719,153.367876,-28.810646,153.324109
"Richmond Lowlands","Hawkesbury City Council","New South Wales",2753,-33.582425,150.750488,-33.565073,150.771784,-33.597344,150.731960
"Rileys Hill","Richmond Valley Council","New South Wales",2472,-29.025206,153.388886,-28.998670,153.409404,-29.047491,153.375063
"Riverside (NSW)","Port Macquarie-Hastings Council","New South Wales",2444,-31.407419,152.864604,-31.395696,152.874995,-31.419541,152.855877
"Riverstone","","New South Wales",2765,-33.681900,150.859400,-33.642915,150.906314,-33.694707,150.813050
"Riverview (Gwydir - NSW)","Lane Cove Municipal Council","New South Wales",2066,-33.824660,151.162200,-33.818357,151.168505,-33.830384,151.152133
"Riverview (Lane Cove - NSW)","Lane Cove Municipal Council","New South Wales",2066,-33.824660,151.162200,-33.818357,151.168505,-33.830384,151.152133
"Riverwood","","New South Wales",2210,-33.950000,151.050000,-33.937280,151.065521,-33.957224,151.040054
"Robertson (NSW)","Wingecarribee Shire Council","New South Wales",2577,-34.583333,150.583333,-34.559374,150.693919,-34.696945,150.524176
"Robin Hill","Isle of Wight","England",PO30 2NU,50.686193,-1.243359,0.000000,0.000000,0.000000,0.000000
"Rock Flat","Cooma-Monaro Council","New South Wales",2630,-36.317550,149.152672,-36.276073,149.310257,-36.484345,149.137850
"Rock Forest","Bathurst Regional Council","New South Wales",2795,-33.365742,149.437214,-33.306599,149.489071,-33.404162,149.312721
"Rock Valley","Lismore City Council","New South Wales",2480,-28.738151,153.167867,-28.676076,153.214194,-28.775988,153.126958
"Rockdale","Rockdale City Council","New South Wales",2216,-33.953290,151.139960,-33.943146,151.152951,-33.965332,151.128170
"Rockley","","New South Wales",2795,-33.695093,149.558928,-33.651410,149.610870,-33.748870,149.466025
"Rocky Point (NSW)","Wyong Shire Council","New South Wales",2259,-33.293362,151.470545,-33.291475,151.472420,-33.295444,151.466695
"Rocky River (Uralla - NSW)","Uralla Shire Council","New South Wales",,-30.561803,151.458143,-30.479759,151.490248,-30.643846,151.426038
"Rodd Point","City of Canada Bay Council","New South Wales",2046,-33.866070,151.143660,-33.862912,151.149763,-33.868873,151.137777
"Rookwood (NSW)","Auburn City Council","New South Wales",2141,-33.872760,151.055620,-33.864613,151.066361,-33.885821,151.046403
"Rooty Hill","Blacktown City Council","New South Wales",2766,-33.771543,150.843922,-33.758152,150.862920,-33.786112,150.827076
"Ropes Crossing","Blacktown City Council","New South Wales",2760,-33.733000,150.791000,-33.717666,150.797335,-33.740955,150.765503
"Rose Bay (NSW)","","New South Wales",2029,-33.875421,151.265623,-33.863148,151.278864,-33.885161,151.252503
"Rosebank","City of Canada Bay Council","New South Wales",2046,-33.870326,151.121359,0.000000,0.000000,0.000000,0.000000
"Roseberry Creek","Kyogle Council","New South Wales",2474,-28.469722,152.806467,-28.448933,152.885734,-28.496495,152.752527
"Rosebery (NSW)","","New South Wales",2018,-33.923690,151.205280,-33.910171,151.214250,-33.926972,151.195508
"Rosebrook (NSW)","Maitland City Council","New South Wales",2320,-32.647075,151.509763,-32.609823,151.542138,-32.668316,151.486381
"Rosedale (NSW)","Eurobodalla Shire Council","New South Wales",2536,-35.816667,150.216667,-35.803711,150.237203,-35.827112,150.198709
"Rosehill (NSW)","Parramatta City Council","New South Wales",2142,-33.827210,151.016990,-33.817726,151.049501,-33.835178,151.012990
"Roselands","Canterbury City Council","New South Wales",2196,-33.935057,151.069044,0.000000,0.000000,0.000000,0.000000
"Rosemeadow","Campbelltown City Council","New South Wales",2560,-34.107000,150.793000,-34.095701,150.804295,-34.117230,150.779214
"Roseville","","New South Wales",2069,-33.789030,151.171190,-33.773155,151.200662,-33.791972,151.161540
"Roseville Chase","Ku-Ring-Gai Council","New South Wales",2069,-33.775590,151.200045,-33.767122,151.207416,-33.782054,151.192963
"Rosewood (Port Macquarie-Hastings - NSW)","Port Macquarie-Hastings Council","New South Wales",2446,-31.456717,152.691242,-31.436927,152.706598,-31.478316,152.663276
"Rosewood (Tumbarumba - NSW)","","New South Wales",2652,-35.674722,147.863889,-35.552298,147.941071,-35.747957,147.778134
"Rossmore (NSW)","","New South Wales",2557,-33.922400,150.769640,-33.911114,150.794760,-33.961944,150.752164
"Rothbury","Cessnock City Council","New South Wales",2320,-32.750000,151.333333,-32.693619,151.391858,-32.776886,151.270922
"Rouchel","Upper Hunter Shire Council","New South Wales",2336,-32.145949,150.953400,-32.113051,151.074372,-32.179657,150.898222
"Round Mountain","Guyra Shire Council","New South Wales",2453,-30.437773,152.239929,0.000000,0.000000,0.000000,0.000000
"Rous","Ballina Shire Council","New South Wales",2477,-28.868330,153.403060,-28.843775,153.434333,-28.883403,153.378941
"Rous Mill","Ballina Shire Council","New South Wales",2477,-28.876231,153.385938,-28.862316,153.401118,-28.897279,153.362495
"Rouse Hill","","New South Wales",2155,-33.681620,150.915520,-33.654995,150.935484,-33.700341,150.890085
"Rowlands Creek","Tweed Shire Council","New South Wales",2484,-28.452226,153.351297,-28.425906,153.374571,-28.507607,153.319575
"Royal National Park","","New South Wales",2233,-34.075077,151.056658,0.000000,0.000000,0.000000,0.000000
"Royalla","","New South Wales",2620,-35.506944,149.168056,-35.443411,149.208838,-35.540627,149.135072
"Rozelle","Leichhardt Municipal Council","New South Wales",2039,-33.864880,151.167350,-33.857265,151.187502,-33.871754,151.161087
"Run-o-Waters","Goulburn Mulwaree Council","New South Wales",2580,-34.755343,149.673746,-34.747807,149.687900,-34.789760,149.654330
"Ruse","Campbelltown City Council","New South Wales",2560,-34.071000,150.842300,-34.059117,150.851070,-34.079059,150.829044
"Rushcutters Bay","Council of the City of Sydney","New South Wales",2011,-33.874299,151.228459,-33.872250,151.230614,-33.876779,151.224438
"Russell Lea","City of Canada Bay Council","New South Wales",2046,-33.859471,151.142440,-33.852967,151.149801,-33.863741,151.134293
"Russell Vale","Wollongong City Council","New South Wales",2517,-34.358000,150.901000,-34.346594,150.912197,-34.362390,150.880326
"Rutherford","Maitland City Council","New South Wales",2320,-32.715278,151.525000,-32.695473,151.544482,-32.727660,151.483930
"Rydal","Lithgow City Council","New South Wales",2790,-33.484041,150.031646,-33.452506,150.085371,-33.591080,150.007651
"Rydalmere","Parramatta City Council","New South Wales",2116,-33.812299,151.041741,-33.803515,151.053185,-33.824250,151.025789
"Ryde","Ryde City Council","New South Wales",2112,-33.815278,151.101111,-33.790376,151.135235,-33.825165,151.092747
"Rye Park","Boorowa Council","New South Wales",2586,-34.496582,148.871206,-34.417944,149.031338,-34.651640,148.806969
"Ryhope","Lake Macquarie City Council","New South Wales",2283,-32.989562,151.528202,-32.983630,151.536419,-32.997462,151.517276
"Rylstone","Mid-Western Regional Council","New South Wales",2849,-32.797121,149.969294,-32.653589,150.066461,-32.840197,149.927755
"Sackville","Hawkesbury City Council","New South Wales",2756,-33.487636,150.869659,-33.478389,150.896272,-33.506605,150.862780
"Sackville North","The Hills Shire Council","New South Wales",2756,-33.481667,150.884722,-33.470724,150.933611,-33.502895,150.869441
"Sadleir","Liverpool City Council","New South Wales",2168,-33.916423,150.891469,-33.910671,150.896042,-33.922932,150.885069
"Safety Beach (NSW)","Coffs Harbour City Council","New South Wales",2456,-30.094995,153.194378,-30.085531,153.201212,-30.100465,153.188159
"Salamander Bay","Port Stephens Council","New South Wales",2317,-32.729167,152.089444,-32.711874,152.116615,-32.746796,152.065178
"Salisbury Plains","Uralla Shire Council","New South Wales",2358,-30.764393,151.588801,-30.702774,151.724189,-30.875589,151.490616
"Salt Ash","Port Stephens Council","New South Wales",2318,-32.794444,151.922222,-32.747461,151.969613,-32.841403,151.878389
"San Isidore","Wagga Wagga City Council","New South Wales",2650,-35.124398,147.290333,-35.108602,147.301802,-35.140449,147.276236
"San Remo (NSW)","Wyong Shire Council","New South Wales",2262,-33.215379,151.522363,-33.207026,151.533188,-33.220988,151.507415
"Sancrox","Port Macquarie-Hastings Council","New South Wales",2446,-31.449302,152.797064,-31.408625,152.825715,-31.470457,152.755816
"Sanctuary Point","Shoalhaven City Council","New South Wales",2540,-35.103611,150.626667,-35.088637,150.643762,-35.117031,150.608800
"Sandgate (NSW)","Newcastle City Council","New South Wales",2304,-32.867778,151.706111,-32.854428,151.716990,-32.883333,151.695864
"Sandringham (NSW)","Rockdale City Council","New South Wales",2219,-33.998611,151.139591,-33.993962,151.148882,-34.003498,151.136219
"Sandy Beach","Coffs Harbour City Council","New South Wales",2456,-30.141274,153.173758,-30.125317,153.207108,-30.164765,153.154900
"Sandy Flat","Tenterfield Shire Council","New South Wales",2372,-29.213653,151.937138,-29.188283,152.104516,-29.311658,151.883203
"Sandy Hollow","Muswellbrook Shire Council","New South Wales",2333,-32.348204,150.588598,-32.278457,150.622287,-32.381660,150.493368
"Sandy Point (NSW)","Sutherland Shire Council","New South Wales",2172,-33.976000,150.992600,-33.971233,150.998370,-33.981921,150.988518
"Sans Souci","","New South Wales",2219,-33.988980,151.139300,-33.983017,151.148557,-34.009816,151.113701
"Sapphire Beach","Coffs Harbour City Council","New South Wales",2450,-30.226377,153.135469,-30.210348,153.158365,-30.249864,153.111631
"Saratoga","Gosford City Council","New South Wales",2251,-33.475000,151.348000,-33.468331,151.369811,-33.482780,151.331468
"Sassafras (NSW)","Shoalhaven City Council","New South Wales",2622,-35.089887,150.241833,-35.070062,150.269338,-35.179240,150.119303
"Saumarez Ponds","Uralla Shire Council","New South Wales",2350,-30.494426,151.554484,-30.455147,151.586248,-30.542909,151.519197
"Sawtell","Coffs Harbour City Council","New South Wales",2452,-30.372095,153.094243,-30.353913,153.109861,-30.379179,153.074309
"Sawyers Gully","Cessnock City Council","New South Wales",2326,-32.767076,151.455221,-32.751848,151.505664,-32.801747,151.395759
"Scarborough (NSW)","Wollongong City Council","New South Wales",2515,-34.270556,150.960278,-34.261898,150.968472,-34.273328,150.945724
"Schofields","Blacktown City Council","New South Wales",2762,-33.700000,150.883300,-33.682214,150.902245,-33.728523,150.844641
"Scone","Upper Hunter Shire Council","New South Wales",2337,-32.054614,150.859482,-31.986419,150.918700,-32.130387,150.774122
"Scotland Island","Pittwater Council","New South Wales",2105,-33.639591,151.290404,-33.636045,151.295702,-33.644516,151.286164
"Scotts Head","Nambucca Shire Council","New South Wales",2447,-30.749286,152.994155,-30.651051,153.012113,-30.753916,152.978965
"Seaforth (NSW)","Manly Council","New South Wales",2092,-33.796000,151.238000,-33.777871,151.253570,-33.804303,151.232054
"Seaham","Port Stephens Council","New South Wales",2324,-32.665000,151.717778,-32.635916,151.755674,-32.706913,151.652463
"Seahampton","Lake Macquarie City Council","New South Wales",2286,-32.885417,151.577848,-32.872787,151.607246,-32.895070,151.558191
"Sebastopol (NSW)","Temora Shire Council","New South Wales",2666,-34.572397,147.504454,-34.513421,147.636813,-34.630697,147.455445
"Sedgefield","County Durham","England",TS21,54.659456,-1.451658,54.671173,-1.440552,54.647051,-1.462855
"Seelands","Clarence Valley Council","New South Wales",2460,-29.627057,152.879408,-29.577110,152.929213,-29.656253,152.855338
"Sefton","Bankstown City Council","New South Wales",2162,-33.888360,151.007130,-33.875757,151.016524,-33.899046,151.004445
"Segenhoe","Upper Hunter Shire Council","New South Wales",2337,-32.056044,150.930007,-31.992403,150.972151,-32.154687,150.872903
"Seven Hills (NSW)","","New South Wales",2147,-33.777700,150.941600,-33.757964,150.966888,-33.796986,150.918565
"Shadforth (NSW)","Orange City Council","New South Wales",2800,-33.392189,149.200720,-33.361811,149.226171,-33.423707,149.172583
"Shalvey","Blacktown City Council","New South Wales",2770,-33.727057,150.805702,-33.722253,150.818921,-33.733490,150.794620
"Shanes Park","Blacktown City Council","New South Wales",2747,-33.711180,150.772240,-33.691232,150.816744,-33.723877,150.765958
"Shannon Brook","Richmond Valley Council","New South Wales",2470,-28.903040,152.963256,-28.870508,153.030716,-28.942204,152.902254
"Shannons Flat","Cooma-Monaro Council","New South Wales",2630,-36.020079,148.982975,-35.862117,149.078363,-36.047469,148.885525
"Shell Cove","Shellharbour City Council","New South Wales",2529,-34.590000,150.861667,-34.581437,150.904521,-34.627881,150.843193
"Shellharbour","Shellharbour City Council","New South Wales",2529,-34.583333,150.866667,-34.566481,150.877220,-34.585440,150.849018
"Shellharbour City Centre","Shellharbour City Council","New South Wales",2529,-34.563333,150.838333,-34.560116,150.843963,-34.569540,150.827548
"Shelly Beach (NSW)","Wyong Shire Council","New South Wales",2261,-33.369960,151.485870,-33.363271,151.494643,-33.376576,151.474897
"Sherwood (Kempsey - NSW)","Kempsey Shire Council","New South Wales",2440,-31.060477,152.848198,-31.038193,152.879454,-31.086616,152.830668
"Shoal Bay (NSW)","Port Stephens Council","New South Wales",2315,-32.725735,152.175002,-32.711086,152.189309,-32.736596,152.161731
"Shoalhaven Heads","Shoalhaven City Council","New South Wales",2535,-34.850227,150.741554,-34.837080,150.753304,-34.863322,150.729136
"Shortland","Newcastle City Council","New South Wales",2307,-32.882000,151.685000,-32.856948,151.707193,-32.890772,151.673874
"Silverdale (NSW)","","New South Wales",2752,-33.905697,150.614473,-33.877979,150.639203,-33.971797,150.534872
"Silverwater (Auburn - NSW)","Auburn City Council","New South Wales",2128,-33.830000,151.051000,-33.824184,151.060352,-33.843628,151.030078
"Silverwater (Lake Macquarie - NSW)","Lake Macquarie City Council","New South Wales",2264,-33.104404,151.558864,-33.098258,151.565562,-33.108478,151.551559
"Singleton (NSW)","Singleton Shire Council","New South Wales",2330,-32.569474,151.178816,-32.554748,151.204634,-32.583016,151.157888
"Singleton Heights","Singleton Shire Council","New South Wales",2330,-32.541045,151.160711,-32.525407,151.169975,-32.555042,151.154102
"Skennars Head","Ballina Shire Council","New South Wales",2478,-28.826390,153.605280,-28.819602,153.608834,-28.846427,153.570940
"Skinners Shoot","Byron Shire Council","New South Wales",2481,-28.665278,153.584722,-28.641963,153.604469,-28.674401,153.577840
"Smeaton Grange","Camden Council","New South Wales",2567,-34.035000,150.757000,-34.026851,150.769627,-34.047478,150.745573
"Smithfield (NSW)","","New South Wales",2164,-33.853572,150.940686,-33.833573,150.960517,-33.863126,150.916406
"Smiths Creek (Tweed - NSW)","Tweed Shire Council","New South Wales",2484,-28.419833,153.374145,-28.403777,153.414159,-28.455648,153.345412
"Smiths Lake","Great Lakes Council","New South Wales",2428,-32.380546,152.502707,-32.357231,152.520442,-32.399647,152.458843
"Smithtown","Kempsey Shire Council","New South Wales",2440,-31.013231,152.945601,-31.003692,152.954368,-31.026252,152.939786
"Soldiers Point","Port Stephens Council","New South Wales",2317,-32.706667,152.067778,-32.698598,152.073154,-32.714657,152.059635
"Somersby","Gosford City Council","New South Wales",2250,-33.365000,151.285000,-33.310267,151.343717,-33.440991,151.224474
"Somerton (NSW)","Tamworth Regional Council","New South Wales",2340,-30.965650,150.639396,-30.843812,150.728449,-31.043702,150.527741
"South Albury","Albury City Council","New South Wales",2640,-36.093000,146.915000,-36.083841,146.926116,-36.112543,146.902538
"South Arm (Nambucca - NSW)","Nambucca Shire Council","New South Wales",2449,-30.672865,152.788639,-30.641664,152.850819,-30.751342,152.645867
"South Bathurst","Bathurst Regional Council","New South Wales",2795,-33.442313,149.572879,-33.428925,149.586995,-33.456575,149.561893
"South Bowenfels","Lithgow City Council","New South Wales",2790,-33.517897,150.112695,-33.483882,150.146829,-33.554901,150.064777
"South Coogee","Randwick City Council","New South Wales",2034,-33.933000,151.259000,-33.926587,151.262225,-33.937837,151.245981
"South Durras","Eurobodalla Shire Council","New South Wales",2536,-35.668541,150.291199,0.000000,0.000000,0.000000,0.000000
"South Golden Beach","Byron Shire Council","New South Wales",2483,-28.498122,153.547094,-28.493774,153.552331,-28.504648,153.541250
"South Grafton","Clarence Valley Council","New South Wales",2460,-29.725682,152.938245,-29.692709,152.966694,-29.761146,152.902792
"South Granville","Parramatta City Council","New South Wales",2142,-33.857722,151.010751,-33.846073,151.017754,-33.871304,151.003820
"South Gundagai","Gundagai Shire Council","New South Wales",2722,-35.056649,148.102061,-34.992322,148.147331,-35.097211,148.043825
"South Gundurimba","Lismore City Council","New South Wales",2480,-28.882663,153.238569,-28.846238,153.300450,-28.946955,153.200146
"South Guyra","Guyra Shire Council","New South Wales",2365,-30.234483,151.674261,-30.227806,151.678644,-30.251142,151.668275
"South Hurstville","Kogarah City Council","New South Wales",2221,-33.980000,151.103500,-33.971565,151.114375,-33.983714,151.097558
"South Kempsey","Kempsey Shire Council","New South Wales",2440,-31.060477,152.848198,-31.038193,152.879454,-31.086616,152.830668
"South Lismore","Lismore City Council","New South Wales",2480,-28.816318,153.256248,-28.797257,153.275230,-28.830069,153.225840
"South Littleton","Worcestershire","England",WR11,52.109849,-1.890504,52.117204,-1.874506,52.108349,-1.904408
"South Maitland","Maitland City Council","New South Wales",2320,-32.742778,151.563889,-32.740177,151.575555,-32.751905,151.551408
"South Maroota","The Hills Shire Council","New South Wales",2756,-33.524100,150.948500,-33.468519,150.995991,-33.550668,150.919789
"South Murwillumbah","Tweed Shire Council","New South Wales",2484,-28.340651,153.409526,-28.316763,153.436985,-28.354288,153.393060
"South Nowra","Shoalhaven City Council","New South Wales",2541,-34.903967,150.599481,-34.893696,150.620034,-34.926930,150.573235
"South Pambula","Bega Valley Shire Council","New South Wales",2549,-36.916667,149.883333,-36.912501,149.898465,-36.951014,149.854837
"South Penrith","Penrith City Council","New South Wales",2750,-33.771505,150.701103,-33.761372,150.712046,-33.785547,150.685456
"South Tamworth","Tamworth Regional Council","New South Wales",2340,-31.111111,150.913611,-31.098560,150.941335,-31.124915,150.896125
"South Turramurra","Ku-Ring-Gai Council","New South Wales",2074,-33.754600,151.113000,-33.742401,151.119688,-33.762597,151.092846
"South Wentworthville","Holroyd City Council","New South Wales",2145,-33.823440,150.965410,-33.814443,150.981780,-33.828938,150.962338
"South West Rocks","Kempsey Shire Council","New South Wales",2431,-30.884167,153.040278,-30.872324,153.066860,-30.918030,153.014189
"South Windsor","Hawkesbury City Council","New South Wales",2756,-33.625350,150.804370,-33.612117,150.827723,-33.648719,150.770858
"Southampton (NSW)","Clarence Valley Council","New South Wales",2460,-29.707203,152.902940,-29.697933,152.928994,-29.731091,152.874225
"Southgate","Melbourne City","Victoria",3006,-37.820477,144.966243,0.000000,0.000000,0.000000,0.000000
